Country name,year,Life Ladder,Log GDP per capita,Social support,Freedom to make life choices,Generosity,Perceptions of corruption,Healthy life expectancy at birth
Spain,2005,7.153,10.544,0.961,0.916,,0.777,70.4
Spain,2007,6.995,10.585,0.957,0.782,-0.099,0.784,70.64
Spain,2008,7.294,10.577,0.948,0.834,-0.155,0.683,70.76
Spain,2009,6.199,10.53,0.929,0.749,-0.133,0.798,70.88
Spain,2010,6.188,10.527,0.95,0.796,-0.144,0.84,71.0
Spain,2011,6.518,10.516,0.944,0.819,-0.128,0.846,71.12
Spain,2012,6.291,10.485,0.937,0.755,-0.065,0.844,71.24
Spain,2013,6.15,10.474,0.929,0.759,-0.107,0.916,71.36
Spain,2014,6.456,10.491,0.948,0.738,-0.034,0.854,71.48
Spain,2015,6.381,10.529,0.956,0.732,-0.078,0.822,71.6
Spain,2016,6.319,10.558,0.942,0.768,-0.054,0.819,71.725
Spain,2017,6.23,10.585,0.903,0.756,-0.038,0.791,71.85
Spain,2018,6.513,10.604,0.91,0.722,-0.081,0.777,71.975
Spain,2019,6.457,10.616,0.949,0.778,-0.054,0.73,72.1
Spain,2020,6.502,10.491,0.935,0.783,-0.127,0.73,72.225
Spain,2021,6.47,10.544,0.926,0.782,-0.076,0.729,72.35
Spain,2022,6.337,10.592,0.934,0.781,-0.001,0.673,72.475
Spain,2023,6.456,10.609,0.912,0.779,-0.004,0.675,72.6
Sweden,2005,7.376,10.724,0.951,0.964,,,71.0
Sweden,2007,7.241,10.791,0.917,0.91,0.141,0.289,71.08
Sweden,2008,7.516,10.778,0.923,0.912,0.12,0.314,71.12
Sweden,2009,7.266,10.725,0.903,0.864,0.216,0.292,71.16
Sweden,2010,7.496,10.775,0.97,0.905,0.136,0.253,71.2
Sweden,2011,7.382,10.799,0.921,0.941,0.156,0.269,71.24
Sweden,2012,7.56,10.785,0.929,0.944,0.127,0.254,71.28
Sweden,2013,7.434,10.789,0.916,0.936,0.154,0.324,71.32
Sweden,2014,7.239,10.805,0.933,0.945,0.197,0.25,71.36
Sweden,2015,7.289,10.838,0.929,0.935,0.206,0.232,71.4
Sweden,2016,7.369,10.846,0.912,0.918,0.141,0.246,71.525
Sweden,2017,7.287,10.858,0.914,0.935,0.165,0.239,71.65
Sweden,2018,7.375,10.866,0.931,0.942,0.072,0.263,71.775
Sweden,2019,7.398,10.875,0.934,0.942,0.085,0.25,71.9
Sweden,2020,7.314,10.846,0.936,0.951,0.084,0.203,72.025
Sweden,2021,7.439,10.893,0.932,0.953,0.172,0.191,72.15
Sweden,2022,7.431,10.912,0.949,0.939,0.232,0.213,72.275
Sweden,2023,7.161,10.902,0.927,0.926,0.147,0.253,72.4
